"","1_1","1_2","1_3","2_1","2_2","2_3","3_1","3_2","3_3","4_1","4_2","4_3","5_1","5_2","5_3","6_1","6_2","6_3","7_1","7_2","7_3","8_1","8_2","8_3","9_1","9_2","9_3","10_1","10_2","10_3","11_1","11_2","11_3","12_1","12_2","12_3","13_1","13_2","13_3"
"A0A8I5KQE6",1.29833493816969,1.2630650843012,1.25448000028358,1.54952141139742,1.52948922026627,1.56993051524089,1.32941199920219,1.23532746509879,1.31849482081642,1.54969869686877,1.54788842042853,1.6021205610724,1.31889978840954,1.35738609729595,1.34868068133553,1.55748563972244,1.57178337459648,1.54284291287671,1.29438825216921,1.30136192935861,1.1822900044244,1.47447030749407,1.50450662701849,1.50975143336815,1.21523378850038,1.34157841085642,1.19561905886935,1.37232965424866,1.48813209930737,1.38618336328597,1.52206472425925,1.58931805197648,1.52092987388876,1.25459316788667,1.32255114812838,1.19045896377694,0.369569267328052,0.627628229873686,0.809236106033675
"A0AV96",-1.83719882055511,-1.59202966582222,-1.75138176173936,-1.67555335091148,-1.49326613811571,-1.37512519858611,-1.71617467135651,-1.46721325592903,-1.60181062546923,-1.77863400766361,-1.66484352580596,-1.69705970349433,-1.54853641185151,-1.51863461360947,-1.57790639939291,-1.50235838676725,-1.60092528838877,-1.68390324693248,-1.67599222738072,-1.65236861096527,-1.75342496446498,-1.48854999608564,-1.41466321055854,-1.33260515542216,-1.71453197132245,-1.82724176809769,-1.70469672413376,-1.56689089128135,-1.52413204605307,-1.44679934355455,-1.57426731587393,-1.64876354006764,-1.40621459148435,-1.73121175880583,-1.5608302005553,-1.43643117319797,-2.07040008594236,-1.60240601907086,-2.07456242044359
"A0AVT1",-0.440360089066362,-0.481606869018939,-0.41940103600609,-0.341877421297395,-0.426958594965078,-0.463682748326943,-0.362020109309997,-0.309116373916198,-0.297095449660459,-0.463497523341943,-0.361920247592923,-0.450240471068449,-0.596239841068495,-0.64600721045076,-0.622186542527259,-0.46871963774266,-0.479454345611067,-0.495584127014345,-0.319645632069271,-0.300637918007658,-0.289096732302969,-0.519476047333111,-0.48058992559456,-0.472829711913592,-0.54418460759299,-0.600232745665856,-0.706686349154416,-0.308151154065697,-0.389305474794728,-0.255199082959264,-0.416541166635705,-0.393771825327018,-0.471972544230519,-0.311531619252667,-0.337502213418724,-0.303738432499864,-1.09997814318149,-1.07378036947232,-1.02682863357478
"A0FGR8",-0.256111321747707,-0.190366300134292,-0.231480550876002,-0.143845528540507,-0.0724019559418535,-0.0940044492616312,-0.202800897750794,-0.0484389621374797,-0.175768404494884,-0.265202465580807,-0.217329958090975,-0.377095054108637,-0.143924617850746,-0.335825272560875,-0.262723600923665,-0.140672762935232,-0.189268815881369,-0.168760371585818,-0.0405514687224008,-0.130955399194688,-0.0738946581569311,-0.0716048590674037,-0.163168772713363,-0.186767331342391,-0.262275690282321,-0.3522725674877,-0.269866115193453,-0.155224443404887,-0.216855800809076,-0.0816408108319723,-0.137720356286725,-0.251833914859136,-0.357710710315016,-0.0120092899935918,-0.0587432388176541,-0.0539999137627371,-0.374591938298946,-0.512829798548802,-0.383020972657911
"A0MZ66",-1.16341964022387,-1.39667540616284,-1.33895518771229,-1.28552321030572,-1.285996647327,-1.2753734682491,-1.30614977648518,-1.23448069020771,-1.23414615114664,-1.3655620988814,-1.34235870983576,-1.34616924101975,-1.256605068488,-1.19681100426374,-1.17355439685346,-1.47014285766087,-1.49587017039828,-1.34960061434519,-1.25251075408919,-1.32427444582615,-1.37416304591372,-1.34087571824727,-1.37191429981566,-1.41146836647894,-1.33768120970506,-1.40897389924733,-1.39259298075918,-1.43012392134174,-1.50100802171594,-1.47068277231813,-1.21445664791779,-1.25217040003298,-1.27100894158636,-1.27547258269079,-1.25904882897544,-1.23308786838828,-1.22934230275664,-1.30798319189166,-1.19931838685228
"A1A4S6",NA,NA,-3.53790584006307,-2.71059983588632,-3.02746906081078,-2.75361318132697,-3.49934490107454,-3.37363904537984,NA,-2.86726958428597,-2.52501333843574,-3.27381686734211,NA,NA,-3.32748039205249,-3.00287879694158,-3.22955236556161,-2.94379082257764,-2.80756289186289,-3.16890250918742,-3.23324206515354,-3.35535697074996,NA,-3.63186710054532,-3.18949770840591,-3.30083672575631,-3.51835947110306,-2.4683444803828,-2.9067815723039,-2.78934897061069,NA,-3.28060266590994,-3.15451583060144,-3.1773819340658,-3.19236052180073,-2.93341833083626,NA,NA,NA
"A1L0T0",-0.521532672293587,-0.77328226179587,-0.758382159897474,-0.154577944753203,-0.128502304193042,-0.268976175772685,-0.334501846573473,-0.405524762842794,-0.383753778213638,-0.284330376221857,-0.402985840165821,-0.256162466667645,-0.622297595992226,-0.904818586077036,-0.799757174949634,-0.349894354815027,-0.545047757105109,-0.354697290656034,-0.322405704482445,-0.112773371840821,-0.165864215214495,-0.394822592627552,-0.314276471990219,-0.274575087890975,-0.286459730698701,-0.278223180358523,-0.39447926531111,-0.134221887691131,-0.155000104904532,-0.219160734121075,-0.296430702340923,-0.388060890116157,-0.32051842198536,-0.163814177141944,-0.39281050537255,-0.274207547229959,-0.508716920157316,-0.849845581740505,-0.909942238732349
"A1X283",0.198232185480746,0.165820629462463,0.144679032442292,0.253321462019835,0.296964181047644,0.151966440025259,0.0559071392603404,0.231043446267746,0.208188994445047,0.133507320676184,-0.042956684049277,0.161239841388692,0.191112125777431,0.168573250546151,0.302718803240481,0.322998284370711,0.119534740314866,-0.0372489507563042,0.428784075056958,0.565050741687458,0.36062704452679,0.236597724107691,-0.205207154923254,0.163721716503629,-0.0155220889141731,-0.0861260484144816,-0.28018447512615,0.282093819189388,0.15161340756208,0.0555372318695166,0.445297359892784,0.267592741402303,0.327146677621425,0.321656629783116,0.355090150679604,0.378654012720533,0.0167440349934238,-0.0310615967301671,-0.355644268989886
"A2RRP1",-4.68296539321115,-3.9778847361719,-4.78480270879331,-4.1952213580501,-4.40038930278266,-3.97271903820462,-3.85229645632476,-4.15225370768054,-3.89264437147371,-4.36933385035317,-4.59491057261605,-5.01233719661519,-4.33017786857753,-4.52364569350795,-4.75318154600383,-4.39691793097125,-4.2421326309785,-4.55247531491351,-4.03426420872984,-4.03583769551441,-4.64173973171012,-4.35567051135847,-4.21927682365859,-4.48854640658921,-4.61217235185997,-4.58827863643063,-4.32951900095872,-4.68182195041839,-4.13643036029303,-4.21689308100501,-4.25874436328414,-4.05969747390761,-4.43201549168274,-4.28938611188058,-4.59143665687239,-4.29293908979585,-4.88862666531253,-4.77772897252782,-4.97425236969779
"A2RTX5",1.62443037325738,1.51856062592053,1.58015440292427,1.95573776695807,1.78903464244648,1.74474460309237,2.10741039099097,1.95012323526392,1.8297082416446,1.49202382985918,1.42940524898128,1.25552155613174,1.46237880849112,1.24752783157425,1.49409287533094,1.74438208198186,1.58528167293881,1.75651487652828,2.016538211882,1.99079634133904,1.98842637322685,1.77387844872819,1.68449852261589,1.74108962242659,0.936683004504842,0.906593055923351,0.831812356598798,2.0577032574463,1.98444383952368,1.62983370199348,1.82953052700366,1.70399275515937,1.63104215230495,1.57498024535271,1.70401544769018,1.62569073599541,0.603123257803547,-0.166366387417802,0.552143852411751
"A2RUC4",NA,-2.7973737940635,-3.29495532323367,NA,-3.52456453588251,-3.16915944071495,NA,-2.86896356679339,-2.89160324377066,-3.289517505818,-3.20502701835498,-3.32392509195476,NA,-3.09456106271427,-3.46963264425198,NA,-3.22939469742792,-3.46647191591243,-3.09350255536505,-2.92106664400506,-3.20066988967006,-3.05730396404652,-3.07064330746536,-3.07042682597871,-3.48803837349228,-3.66778504619732,-3.9410736224224,-3.04733379336948,-3.39564114796057,-2.8400058942221,NA,-3.12233165759348,NA,-3.13772737741923,-2.82487988714689,NA,NA,NA,-3.40244485528813
"A4D1E9",-1.13534321673011,-1.58339637146534,NA,NA,-1.03072314722489,-1.36143968632149,-0.935108452099961,-1.19199449825907,-1.30868447806483,-1.25988691868571,-1.36525391750949,NA,-0.908905034056847,NA,NA,-0.621796201992588,-1.16291223441906,-1.03213590650469,-1.92576265297964,-1.52321704924916,-1.17293515844916,-1.2796806768809,-1.24485798247703,-1.3486806569836,NA,NA,NA,-1.02307008609042,-0.784009590037225,-1.30525012318782,-1.01694132439095,-1.21645040078808,-0.811616065388247,-1.15966933139118,-1.03441885514385,-0.98459959954068,NA,NA,NA
"A4D1P6",-2.88224317853094,-2.9398429725912,-2.60032226028451,-2.71697909461352,-3.02793708277911,-3.03573573951191,-2.72764245122871,-2.63772611510487,-2.8255701431898,-2.80502952097428,-2.81407979893045,-2.97815449813968,-2.7335453565658,-2.87754416810229,-2.94104235812629,-3.14792979067464,-2.96466337078759,-2.78199175164661,-2.86075657058261,-2.83313183058368,-3.11633326847384,-2.88069884688762,-2.87793426079462,-2.73144825237945,-2.81266523558335,-2.74913306567127,-2.74527830180276,-2.74684123101547,-2.99436514218072,-2.94414131296338,-2.75961391514778,-3.09811512502052,-3.03319368104102,-2.87277166857755,-2.91061255548376,-2.98895263817977,-3.18393522755479,-3.60927500095846,-3.19692983601056
"A5A3E0",6.03569609413259,6.32526159590805,6.25367808113833,6.21613450308149,6.25031803991589,6.21593337192639,6.36793621287457,6.27360658293949,6.30638577115354,6.09762297863741,6.13601643419693,6.17471935185118,6.14506470083766,6.22731538102114,6.21151869295626,6.36866313630099,6.34754612454594,6.21515083368238,6.46275892483294,6.36346211987339,6.34580043004433,6.48745796101506,6.44182910667021,6.46338072511665,6.07367967446182,6.0269980298499,5.96672592674197,5.88691034619866,5.97227690885932,6.07619523922866,6.13017994742405,6.15607962245061,6.23205426071749,6.07620774960022,6.15875653667198,6.10268243011842,6.20513393242645,6.14488126476068,6.04942703225084
"A5PLL7",-0.443613963682122,-0.924017978022125,-0.623605898138305,-0.830286195935905,NA,-0.750849985364692,-0.667244403781876,-0.660514067662277,-0.783060880195265,-0.194978294762354,-0.49279172278564,-0.621135358235087,-1.17034817763878,-1.1028425179681,-1.15032011352395,-0.909043030795793,-1.2222746776867,-1.06776156789104,-1.14515938829003,-1.21047249272544,-1.15253291270425,-1.24327884236852,-1.04435841608756,-0.721143684351954,-0.492877200281637,-0.621473224630488,-0.509029503193414,-0.664171124956045,-0.894576009373136,-0.383118140660656,-0.401667431797673,-0.439414657837577,-0.101159181477691,-0.342721892247535,-0.715404650395502,-0.851325201505414,-2.2655704445711,NA,-2.22138261383861
"A5YKK6",-1.47057176425219,-1.27788714619353,-1.35214723506296,-1.14585137249827,-1.12118377271525,-1.13668149149699,-1.20931875096585,-1.19230618983631,-1.14222542989388,-1.2213835275671,-1.0910957433771,-1.12831337143279,-1.21507754246922,-1.29978520715097,-1.29669274747446,-1.10195917322026,-1.17119583687758,-1.15785467650681,-1.16211520618452,-1.17595187220552,-1.17739427707657,-1.07454966133288,-1.04509318401344,-1.10148613345763,-1.22255399297122,-1.21185286154354,-1.26592703466266,-1.10229797824249,-1.05930421485868,-1.09228874640624,-1.15575458302731,-1.15580410627829,-1.09931742287645,-1.12984204159197,-1.15443084449758,-1.17762906123535,-1.44055350266402,-1.51158952547926,-1.59096890047892
"A6NDG6",-0.403235288945197,-0.331771724873404,-0.0218271014651725,-0.0984694134165466,0.0844408760363998,0.149741613002651,0.000386148855093862,-0.250848108832733,-0.109125314063437,-0.157635896676699,-0.103978654393375,-0.106632546652903,-0.0381918318286326,0.114312992895045,-0.235376031938945,-0.176717699252304,-0.0981275722484571,-0.0154399816713096,-0.0550408590569227,-0.211821382009299,-0.162243172625493,-0.0713169519043617,0.039731073146225,-0.0356311652053116,-0.205631558159088,-0.362783416045919,-0.216589646505038,-0.232451472283933,-0.0495155621929177,-0.0693011124647072,-0.0795969844185322,0.0843026447567757,-0.0607523407327079,0.0752245400258344,0.00210829800383912,0.0573616849816589,-0.165608672817607,-0.170006562035267,-0.138055247157718
"A6NFQ2",-3.13364876977486,-2.99425053574969,-3.55454861409223,-2.51611774624431,-2.90782510211961,-2.81851453918243,-2.6742391408655,-2.81980955967686,-2.88337539375963,-3.43508663319309,-3.12637331989141,-3.1726712467333,-3.24132732495336,-3.46199207601694,-3.171290628158,-3.46683116263637,-3.5122305486414,-3.47970599934973,-3.56496973890076,-3.29628098689604,-3.17897223527317,-3.5747292493739,-3.38491854839287,-3.60150190348688,-3.15278387745179,-3.0864515395993,-3.39563711044569,-3.26074967689833,-3.40687139472409,-3.35895000869592,-3.02479818079289,-3.1289786363101,-3.18234547135968,-2.82797193326235,-2.77709140634121,-2.76902789529668,NA,-4.30515328522083,NA
"A6NHL2",3.032222912909,3.31555091224475,3.32766280944408,3.28575011737336,2.93194014476792,3.04871520823067,3.27203798171195,3.12772622486961,3.28255534359201,3.37635608746992,3.4812804522754,3.48333697779759,3.44907615410994,3.47015284669379,3.17664098588319,3.61965797244665,3.66366245866452,3.59098831101669,3.5661356518479,3.46339730979682,3.48556945073011,3.3971857894842,3.42796447819132,3.44619093172931,3.45552513502205,3.43602779223811,3.31410172458279,2.9921240056894,3.22660424026192,3.20292652714093,3.20515468470198,3.33368617254034,3.39278634462145,3.31690591150068,3.25995146498087,3.30444238369965,2.8553672344261,2.738553260179,2.8340637264062
"A6NHQ2",-0.20635785806461,-0.145458478771484,-0.220734297718952,0.349531911050683,0.109599150945268,0.145859583045667,0.1258268221401,0.130652785252829,0.110218519884064,0.665112624581944,0.713137867872342,0.637743022480667,-0.0200809282843757,-0.0354651378677354,-0.0543586701088277,0.0952276875614046,0.416300302233758,0.346201376990127,-0.0566281403937268,0.106272154512936,-0.0736372685726697,0.39135859546356,0.376798263368453,0.290197458954452,0.587864529070675,0.543845658964571,0.456119346743034,0.26083962262992,0.586693416678756,0.446647454065122,0.180166547099837,0.341143956766727,0.359912973159872,-0.11600099315859,-0.105801238759337,0.0621408807715316,-0.490448793469273,-0.528664595317053,-0.537776887779305
"A6NHR9",-1.69771298195956,-1.45500198747354,-1.68918756454023,-1.40413693234422,-1.29334449053377,-1.29080304329359,-1.41250684733344,-1.4603143268294,-1.38516202621655,-1.13038058374031,-1.03703910462657,-1.14912142338143,-1.43107306559883,-1.380759288707,-1.32709971196835,-1.09385697797882,-1.02613544560617,-1.24681367421452,-1.1671278108031,-1.19864041152056,-1.19785455602731,-1.0383599310222,-1.28558593989496,-1.13415961357602,-1.38320818120229,-1.20223827287342,-1.26280006632514,-1.04994699085495,-1.24646756279881,-1.16097988706384,-1.34653541248998,-1.15641950738267,-1.26920420616184,-1.36166532926897,-1.37800462277038,-1.4607514927847,-1.63016482306473,-1.80036316923047,-1.63076933638354
"A6NIH7",NA,-1.84065790216989,-1.17764565000217,-1.69710077461418,-1.57772575376134,NA,NA,NA,-1.43824919372421,NA,-1.25678152331328,-1.29306882469158,-1.86508448696254,-1.66766564747742,-1.29106835987837,-1.39812746795429,-1.52572031063956,-1.53539108079744,-2.09095892194722,-1.66402316986796,-2.07332184562971,-1.27290594183472,-1.41008860364225,-1.32820553065691,-1.44480297088424,-1.38227823492232,-1.37318964507018,NA,-1.46531225747841,-1.42753507517211,-1.0521632743775,-1.4839906272392,-1.15671959140683,-1.5179789385787,-1.42771000216483,-1.47411279900978,-0.943377336240921,-0.912901866986125,-1.21856228310639
"A6NKD9",NA,-3.09825107912925,-3.95641559374922,-3.18979292710363,-3.681629741269,-3.74670918499278,-3.65560924458274,-3.43146333968033,-3.33747712527702,-3.34596390857626,-3.38435896385296,-3.38276011023144,-3.52478120239769,-3.38968748153676,-3.46026211671385,-3.44969500005715,-3.4624283857489,-3.59161848917469,-3.81280875521373,-3.80262643665894,-3.69649668388585,-3.49627921555345,-3.60914932663613,-3.64789135536634,-3.3170354353683,-3.04721081595639,-2.84148093567449,-3.7158826449423,-3.33163209481258,-3.5652913372151,-3.8512464433003,-3.3006987523439,-3.21804028283552,-3.77742483853401,-3.48865338181347,-3.72949017237273,-3.86417991762717,-3.10768810067991,-3.21270197911897
"A6NMY6",2.87926084958166,2.9237234363575,2.94798606519568,2.34194931784935,2.33625928732021,2.41268131683292,2.7904916893539,2.74243046207112,2.77969196589399,2.47318292921915,2.51758301185158,2.58432817929443,2.86398046754798,2.86758355243755,2.8267906848109,2.50098088445894,2.50463163945859,2.47772825148638,2.65687960819537,2.65077462417077,2.71753635549686,2.83161296065374,2.82090437227395,2.85120756579982,2.59920783684159,2.52156634194108,2.62046466475108,2.27021332639618,2.3421413817928,2.28637626674499,2.49146152417546,2.58701290021904,2.45958631024723,2.57233792942765,2.6536812460514,2.56771500402019,3.01561003575468,3.12600175807461,3.12663950994466
"A6NNZ2",4.0401014511092,3.94232459661085,4.01604679860074,4.05877328227745,3.95147901818697,3.94017731797484,4.05482511260159,3.99878695664286,3.96696931898938,4.06267845096463,4.04012349898544,4.02533859189775,4.03690346405025,4.07035989089222,4.07183337861763,4.10273827575647,4.12607925224033,4.03308058015675,4.0418758764917,4.04871018517635,4.08805476051083,4.1877520098207,4.17067504745794,4.15396805886415,4.18328356639376,3.93715155528714,3.93710942666537,4.02000730345017,4.09758801730659,3.88765638672027,4.12544917305233,4.03237820537586,4.0153321808152,4.0448504821185,4.01507587810701,3.9781138871214,3.82645458448522,3.83953303534083,3.89007620972816
"A6ZKI3",-0.594266565856991,-0.819996200606287,-0.789014392954975,-0.858809306525323,-0.82211318877042,-0.840935895311368,-1.26469504775917,-0.920907165351377,-1.13829633222879,-0.735041712007625,-0.678965797064805,-0.679567239975309,-0.655095088565155,-0.623289970351212,-0.69839551488031,-0.871817116704161,-0.868331216620547,-0.760482826531362,-1.09104905093573,-1.24942837662945,-1.04113084619929,-0.757664437797811,-0.460417891727122,-0.659508380366024,-0.310520349193634,-0.339528834188563,-0.437695921506357,-1.07966603776362,-0.729526319301318,-0.778950638143691,-0.76483929706961,-0.909189059761449,-0.662677680329757,-0.775975078821233,-0.946474283150582,-0.695862819829767,-0.928256517957895,-0.859354234646762,-0.848433467823163
"A7E2Y1",1.16257405555556,1.2230835182921,1.71324507428864,2.00727604786249,1.78444469182714,2.27521263612837,2.19636582074409,2.77132887865463,2.69472467830526,2.81150795486692,2.62425248777658,2.93824641434052,1.825351595863,1.916596203357,1.67582671181749,2.11540471630044,2.56774509621127,2.59602438997532,3.01967684895086,2.56565624286189,2.95120043365904,2.49363682257588,3.00018711135993,2.88675800329886,3.63605005582054,3.5623455251119,3.47331358073649,2.67923553418252,2.91231011736755,2.78533422999377,2.16444949722385,2.44297302709052,2.3426147935252,2.85308287426164,2.542817185451,2.7124326863544,1.30640514096714,2.02879965941394,2.20754350653057
"A7KAX9",-1.76277383560628,-2.025303544129,-1.82100487513137,-1.38396106969701,-1.78421529638421,-1.74343387562254,-1.65261721160677,-1.86001870249444,-1.72106176464836,-1.67862648202232,-1.70496388431321,-1.73779084763866,-1.73459608162432,-1.7247514966278,-1.87077440343609,-1.85217552087003,-1.81882177993237,-1.80752458484461,-1.75403592279661,-2.05446990495034,-2.03726721566284,-1.72341417381785,-1.72577802792853,-1.71701994521911,-1.69352287150675,-2.10900585423886,-1.82163674684227,-1.72154581274438,-1.63551965533762,-1.69846377345394,-1.42953469233636,-1.6016822767353,-1.558405961659,-1.74429192672717,-2.07579793736425,-1.98225607743749,-1.81841860036456,-1.872675774909,-2.06320849955832
"A8CG34",NA,-3.61812956717924,-2.92385062851435,-3.43897409244954,NA,-3.20800389356309,-3.36924293977177,NA,-3.59809428933249,-3.37344541235604,-3.06170377461536,-2.89799913328352,-3.29083116327448,-2.86965977203189,-3.35095126944403,-3.24954905146711,-3.717500183992,-3.4733761661685,NA,-3.72988499509029,-3.0820291596396,-3.4182766333019,-3.18137229023418,-3.04988368766797,-3.35257042242009,-3.39770991371704,-3.49684707035127,-3.30969068137817,-3.50184151836205,-3.26153291518831,-3.56103668298505,-3.81237832296024,-3.04805541203525,-3.69361117386526,-3.23424383420149,-3.03491812077043,-2.358211197677,-2.56338579578868,-2.59832307501669
